Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Tunisia,TUN,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.7402233050591
Tunisia,TUN,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.8276702722749
Tunisia,TUN,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.9720852732425
Tunisia,TUN,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.7625942009062
Tunisia,TUN,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.0767761634057
Tunisia,TUN,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.5886582657628
Tunisia,TUN,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.3655449244207
Tunisia,TUN,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.018228461661
Tunisia,TUN,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.1270329635474
Tunisia,TUN,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.8836637520189
Tunisia,TUN,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.2517948769559
Tunisia,TUN,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.2300985071289
Tunisia,TUN,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.9503343246712
Tunisia,TUN,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.5395633195076
Tunisia,TUN,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.2436164967285
Tunisia,TUN,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.8260072718719
Tunisia,TUN,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.0444677652101
Tunisia,TUN,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.849158203489
Tunisia,TUN,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.8303615715997
Tunisia,TUN,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.3388272468538
Tunisia,TUN,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.6735622361729
Tunisia,TUN,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.2927045442838
Tunisia,TUN,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.7886726811533
Tunisia,TUN,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.4159615156191
Tunisia,TUN,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.2086297223016
Tunisia,TUN,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.2480289696836
Tunisia,TUN,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.1950683439228
Tunisia,TUN,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.2219599071579
Tunisia,TUN,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.6202456513994
Tunisia,TUN,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.4074697948927
Tunisia,TUN,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,25.7833077789906
Tunisia,TUN,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.6392345059236
Tunisia,TUN,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.0709522954137
Tunisia,TUN,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.7510732081146
Tunisia,TUN,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.4946215187641
Tunisia,TUN,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.3901655214416
Tunisia,TUN,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.7739593976576
Tunisia,TUN,1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.6687516898296
Tunisia,TUN,1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.0625536978132
Tunisia,TUN,1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.0908335979391
Tunisia,TUN,1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.0374169024284
Tunisia,TUN,1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.6997884560564
Tunisia,TUN,1976,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.0041537079017
Tunisia,TUN,2018,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.67125540311972
Tunisia,TUN,2017,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.15195294500313
Tunisia,TUN,2016,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.52662831694191
Tunisia,TUN,2015,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.86734609329688
Tunisia,TUN,2014,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.69798704223401
Tunisia,TUN,2013,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.92429633217221
Tunisia,TUN,2012,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.21764128453234
Tunisia,TUN,2011,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.6796164248832
Tunisia,TUN,2010,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.90986457005856
Tunisia,TUN,2009,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,9.62609592573494
Tunisia,TUN,2008,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.13393547743207
Tunisia,TUN,2007,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.2910954959106
Tunisia,TUN,2006,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.78928616872376
Tunisia,TUN,2005,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.48884010245149
Tunisia,TUN,2004,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.56551141166526
Tunisia,TUN,2003,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.16086737266768
Tunisia,TUN,2002,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.39795918367346
Tunisia,TUN,2001,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.05821741370426
Tunisia,TUN,2000,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.10723192019948
Tunisia,TUN,1999,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.16618911174784
Tunisia,TUN,1998,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,9.01098901098901
Tunisia,TUN,1997,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.56924254016829
Tunisia,TUN,1996,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.93641618497108
Tunisia,TUN,1995,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.94214229867083
Tunisia,TUN,1994,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.01089324618736
Tunisia,TUN,1993,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.92285084496693
Tunisia,TUN,1992,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.27343750000001
Tunisia,TUN,1991,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.55526992287917
Tunisia,TUN,1990,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.92193808882908
