,date,value
0,1991,16.852999999999998
1,1992,16.714000000000002
2,1993,16.64
3,1994,16.487000000000002
4,1995,16.914
5,1996,17.354
6,1997,17.778
7,1998,18.243
8,1999,18.674
9,2000,19.116
10,2001,19.598
11,2002,20.088
12,2003,20.581
13,2004,21.06
14,2005,21.524
15,2006,21.568
16,2007,22.105999999999998
17,2008,22.023000000000003
18,2009,21.930999999999997
19,2010,21.258000000000003
20,2011,21.294
21,2012,19.551
22,2013,19.55
23,2014,19.593
24,2015,19.590999999999998
25,2016,19.624000000000002
26,2017,19.58
27,2018,19.561
28,2019,19.53
