,0,1,2
 ,Evolution de la population active occupée,Population active occupée Masculine,Population active occupée Féminine
II trimestre 2011,3139.8,2394.1,745.7
IV trimestre 2011,3170.7,2405.0,765.7
I trimestre 2012,3207.1,2423.9,783.2
II trimestre 2012,3231.6,2434.9,796.7
III trimestre 2012,3242.9,2444.3,798.6
IV trimestre 2012,3255.8,2451.0,804.8
I trimestre 2013,3281.2,2466.0,815.2
II trimestre 2013,3315.3,2482.4,832.9
III trimestre 2013,3341.2,2495.3,845.9
IV trimestre 2013,3368.7,2505.6,863.1
I trimestre 2014,3392.5,2515.0,877.5
II trimestre 2014,3294.4,2351.1,943.3
III trimestre 2014,3399.2,2519.0,880.2
IV trimestre 2014,3413.7,2523.3,890.4
I trimestre 2015,3398.6,2520.7,877.9
II trimestre 2015,3386.3,2513.8,872.5
III trimestre 2015,3392.1,2515.8,876.3
IV trimestre 2015,3402.0,2521.3,880.7
I trimestre 2016,3414.7,2525.3,889.4
II trimestre 2016,3417.6,2527.9,889.7
III trimestre 2016,3425.9,2529.6,896.3
IV trimestre 2016,3436.7,2537.1,899.6
I trimestre 2017,3451.5,2546.2,905.3
II trimestre 2017,3458.1,2550.1,908.0
III trimestre 2017,3472.2,2560.2,912.0
IV trimestre 2017,3480.0,2566.8,913.2
I trimestre 2018,3491.9,2573.9,918.0
II trimestre 2018,3497.7,2577.5,920.2
III trimestre 2018,3502.7,2579.3,923.4
IV trimestre 2018,3507.6,2582.5,925.1
I trimestre 2019,3520.4,2590.7,929.7
II trimestre 2019,3527.9,2594.5,933.4
III trimestre 2019,3543.6,2603.2,940.4
IV trimestre 2019,3566.4,2613.7,952.7
