,0,1,2
 ,Evolution des créations d'emploi,Créations d'emploi pour les Masculins,Créations d'emploi pour les Féminins
II trimestre 2011,-137.6,-63.7,-73.9
IV trimestre 2011,30.9,10.9,20.0
I trimestre 2012,36.4,18.9,17.5
II trimestre 2012,24.5,11.0,13.5
III trimestre 2012,11.3,9.4,1.9
IV trimestre 2012,12.9,6.7,6.2
I trimestre 2013,25.4,15.0,10.4
II trimestre 2013,34.1,16.4,17.7
III trimestre 2013,25.9,12.9,13.0
IV trimestre 2013,27.5,10.3,17.2
I trimestre 2014,23.8,9.4,14.4
III trimestre 2014,6.7,4.0,2.7
IV trimestre 2014,14.5,4.3,10.2
I trimestre 2015,-15.1,-2.6,-12.5
II trimestre 2015,-12.3,-6.9,-5.4
III trimestre 2015,5.8,2.0,3.8
IV trimestre 2015,9.9,5.5,4.4
I trimestre 2016,12.7,4.0,8.7
II trimestre 2016,2.9,2.6,0.3
III trimestre 2016,8.3,1.7,6.6
IV trimestre 2016,10.8,7.5,3.3
I trimestre 2017,14.8,9.1,5.7
II trimestre 2017,6.6,3.9,2.7
III trimestre 2017,14.1,10.1,4.0
IV trimestre 2017,7.8,6.6,1.2
I trimestre 2018,11.9,7.1,4.8
II trimestre 2018,5.8,3.6,2.2
III trimestre 2018,5.0,1.8,3.2
IV trimestre 2018,4.9,3.2,1.7
I trimestre 2019,12.8,8.2,4.6
II trimestre 2019,7.5,3.8,3.7
III trimestre 2019,15.7,8.7,7.0
IV trimestre 2019,22.8,10.5,12.3
