, ,II trimestre 2011,IV trimestre 2011,I trimestre 2012,II trimestre 2012,III trimestre 2012,IV trimestre 2012,I trimestre 2013,II trimestre 2013,III trimestre 2013,IV trimestre 2013,I trimestre 2014,III trimestre 2014,IV trimestre 2014,I trimestre 2015,II trimestre 2015,III trimestre 2015,IV trimestre 2015,I trimestre 2016,II trimestre 2016,III trimestre 2016,IV trimestre 2016,I trimestre 2017,II trimestre 2017,III trimestre 2017,IV trimestre 2017,I trimestre 2018,II trimestre 2018,III trimestre 2018,IV trimestre 2018,I trimestre 2019,II trimestre 2019,III trimestre 2019,IV trimestre 2019
1, Agriculture et pêche,510.0,534.5,543.2,550.0,504.9,530.4,537.0,507.4,495.1,517.2,503.5,484.9,525.7,529.117,499.5,499.8,514.1,517.8,502.4,508.7,515.0,518.7,509.924,495.18199999999996,502.8,513.2,506.7,497.5,488.5690000000001,491.5,482.6,483.159,491.1
2, l'Industries manufacturières,578.0,572.7,604.8,597.9,600.4,602.6,602.9,622.6,640.4,630.9,637.5,662.0,634.0,626.8,629.1,622.0,632.4,627.9,630.9,628.1,625.4,632.0,632.841,633.876,644.4,636.0,646.5,654.9,653.1,661.4,645.5,644.9309999999999,656.7
3, l'Industries agroalimentaires,72.3,68.2,77.5,78.2,85.3,80.7,80.8,77.5,80.8,89.7,78.6,90.1,79.8,75.861,81.9,86.6,87.4,86.9,87.1,87.9,91.0,89.7,92.016,92.69200000000001,94.7,95.2,96.2,98.5,92.99799999999999,94.1,95.9,97.13399999999999,104.0
4, les matériaux de constructions,35.0,37.1,40.7,39.4,39.8,37.1,40.4,41.7,42.0,35.4,36.4,39.6,44.4,43.5,46.0,40.4,42.8,43.8,40.1,39.6,38.2,40.0,38.840999999999994,37.909000000000006,39.8,37.3,39.8,38.7,40.173,42.8,36.7,35.251999999999995,37.1
5,  l'Industries mécaniques et électriques,119.1,124.0,126.4,123.4,125.2,116.7,128.9,131.3,138.3,141.4,148.0,156.4,149.9,146.5,147.5,147.5,151.8,149.8,148.6,147.1,149.6,150.4,153.632,154.26799999999997,156.0,152.0,153.6,156.7,159.973,160.2,153.1,152.61200000000002,159.4
6,  l'Industries chimiques,28.0,28.0,27.7,28.5,25.5,33.7,28.2,28.6,31.6,31.9,32.6,31.8,25.7,31.4,29.2,27.2,28.7,28.7,31.1,31.3,30.5,30.1,27.706,28.8,29.7,27.5,30.5,31.8,29.918,32.8,32.6,28.738999999999997,29.2
7," le Textile, l’habillement et des chaussures",236.0,228.4,249.1,240.8,234.0,244.7,237.7,251.3,254.5,250.6,262.5,260.1,253.3,244.9,240.0,234.7,234.8,234.5,237.3,235.8,232.5,234.4,232.477,235.227,237.0,239.4,242.1,245.7,246.067,245.3,236.2,233.98599999999996,234.0
8, d'Autres industries manufacturières,87.6,87.0,83.4,87.6,90.6,89.7,86.9,92.2,93.2,81.9,79.4,84.0,80.9,84.7,84.5,85.6,86.9,84.2,86.7,86.4,83.6,87.4,88.169,84.97999999999999,87.2,84.6,84.3,83.5,83.971,86.2,91.0,97.208,93.0
9, l'Industries  non manufacturières,473.3,457.7,439.1,469.6,470.6,465.0,460.1,480.0,503.9,489.3,499.1,488.9,494.8,483.0,491.8,482.1,490.7,494.1,504.0,503.0,509.0,508.8,513.182,525.244,526.1,519.1,525.4,532.4,534.859,538.5,550.0,553.648,552.5
10, Mines et énergie,31.6,32.0,37.9,37.2,38.2,37.7,40.2,42.4,43.6,40.4,42.8,40.4,40.6,34.3,36.5,36.2,34.1,34.3,36.7,37.2,38.9,39.1,37.589999999999996,38.744,35.3,34.6,36.9,38.4,35.18300000000001,33.3,36.9,43.343999999999994,41.0
