,0,1,2
 ,Taux de chômage des diplômés de l’enseignement supérieur,Taux de chômage des Masculins des diplômés de l’enseignement supérieur,Taux de chômage des Féminins des diplômés de l’enseignement supérieur
II trimestre 2011,33.6,23.7,43.8
IV trimestre 2011,33.1,22.6,44.2
I trimestre 2012,34.2,21.0,49.4
II trimestre 2012,26.9,15.8,40.2
III trimestre 2012,32.7,20.6,46.4
IV trimestre 2012,33.2,20.6,47.5
I trimestre 2013,33.2,22.6,45.3
II trimestre 2013,31.6,20.9,43.5
III trimestre 2013,33.5,23.1,43.5
IV trimestre 2013,31.9,21.7,41.9
I trimestre 2014,31.4,21.2,40.8
III trimestre 2014,30.9,22.1,39.7
IV trimestre 2014,30.4,21.7,38.7
I trimestre 2015,30.0,20.8,39.0
II trimestre 2015,28.6,19.9,38.4
III trimestre 2015,32.0,21.4,41.1
IV trimestre 2015,31.2,20.7,41.1
I trimestre 2016,31.0,20.3,39.8
II trimestre 2016,30.5,19.4,40.4
III trimestre 2016,31.9,20.5,41.7
IV trimestre 2016,31.6,20.1,41.5
I trimestre 2017,31.2,19.2,41.0
II trimestre 2017,30.3,18.7,40.3
III trimestre 2017,30.6,18.9,40.6
IV trimestre 2017,29.9,19.0,39.0
I trimestre 2018,29.3,18.0,38.7
II trimestre 2018,29.2,18.0,38.6
III trimestre 2018,29.7,18.4,39.6
IV trimestre 2018,28.8,17.2,38.8
I trimestre 2019,28.2,16.5,38.3
II trimestre 2019,28.0,16.4,38.1
III trimestre 2019,28.6,16.8,38.7
IV trimestre 2019,27.8,15.7,38.1
