,0,1,2
 ,Emploi\Chômage\Taux de chômage\Par sexe,Taux de chômage Masculin,Taux de chômage Féminin
II trimestre 2011,18.3,15.0,27.4
IV trimestre 2011,18.9,15.4,28.2
I trimestre 2012,18.1,14.9,26.6
II trimestre 2012,17.6,14.6,25.6
III trimestre 2012,17.0,14.1,24.9
IV trimestre 2012,16.7,13.9,24.2
I trimestre 2013,16.5,13.9,23.3
II trimestre 2013,15.9,13.3,23.0
III trimestre 2013,15.7,13.1,22.5
IV trimestre 2013,15.3,12.8,21.9
I trimestre 2014,15.2,12.7,21.5
II trimestre 2014,14.8,11.4,22.2
III trimestre 2014,15.1,12.6,21.4
IV trimestre 2014,15.0,12.5,21.1
I trimestre 2015,15.0,12.5,21.6
II trimestre 2015,15.2,12.4,22.2
III trimestre 2015,15.3,12.4,22.5
IV trimestre 2015,15.4,12.5,22.6
I trimestre 2016,15.4,12.5,22.8
II trimestre 2016,15.6,12.4,23.5
III trimestre 2016,15.5,12.5,23.2
IV trimestre 2016,15.5,12.5,23.1
I trimestre 2017,15.3,12.4,22.7
II trimestre 2017,15.3,12.4,22.6
III trimestre 2017,15.3,12.3,22.8
IV trimestre 2017,15.5,12.5,22.9
I trimestre 2018,15.4,12.4,22.7
II trimestre 2018,15.4,12.5,22.7
III trimestre 2018,15.5,12.5,22.8
IV trimestre 2018,15.5,12.5,22.9
I trimestre 2019,15.3,12.4,22.6
II trimestre 2019,15.3,12.3,22.4
III trimestre 2019,15.1,12.2,22.0
IV trimestre 2019,14.9,12.1,21.7
