,date,value
0,1991,5.734
1,1992,5.684
2,1993,5.582000000000001
3,1994,5.4879999999999995
4,1995,6.029
5,1996,6.6610000000000005
6,1997,7.251
7,1998,7.885
8,1999,8.546
9,2000,9.197000000000001
10,2001,9.897
11,2002,10.552
12,2003,11.347000000000001
13,2004,12.159
14,2005,12.863
15,2006,13.05
16,2007,12.04
17,2008,12.298
18,2009,10.957
19,2010,11.709000000000001
20,2011,10.042
21,2012,10.245
22,2013,9.203
23,2014,9.245
24,2015,9.247
25,2016,9.271
26,2017,9.261000000000001
27,2018,9.267000000000001
28,2019,9.266
