,0,1,2
 ,Evolution de la population en âge d'activité (15 ans et plus),Evolution de la population Masculine (15 ans et plus),Evolution de la population Féminine (15 ans et plus)
II trimestre 2011,8146.6,4019.1,4127.5
IV trimestre 2011,8175.2,4027.4,4147.8
I trimestre 2012,8190.5,4045.7,4144.8
II trimestre 2012,8211.7,4056.4,4155.3
III trimestre 2012,8255.8,4062.0,4193.8
IV trimestre 2012,8282.7,4073.5,4209.2
I trimestre 2013,8294.6,4077.7,4216.9
II trimestre 2013,8315.7,4086.4,4229.3
III trimestre 2013,8349.5,4104.7,4244.8
IV trimestre 2013,8383.5,4123.1,4260.4
I trimestre 2014,8409.5,4131.1,4278.4
III trimestre 2014,8396.6,4130.5,4266.1
IV trimestre 2014,8422.8,4143.5,4279.3
I trimestre 2015,8454.392,4159.13,4295.262000000001
II trimestre 2015,8480.59,4172.096,4308.494000000001
III trimestre 2015,8498.5,4180.5,4318.0
IV trimestre 2015,8529.7,4195.9,4333.8
I trimestre 2016,8554.4,4208.0,4346.4
II trimestre 2016,8580.9,4211.6,4369.3
III trimestre 2016,8609.2,4225.9,4383.3
IV trimestre 2016,8638.6,4240.3,4398.3
I trimestre 2017,8666.8,4254.2,4412.6
II trimestre 2017,8694.333,4263.522,4430.811
III trimestre 2017,8721.7,4277.0,4444.7
IV trimestre 2017,8745.189999999999,4288.566,4456.624000000001
I trimestre 2018,8768.636,4300.127,4468.509
II trimestre 2018,8793.6,4312.4,4481.2
III trimestre 2018,8811.4,4320.7,4490.7
IV trimestre 2018,8834.28,4331.33,4502.95
I trimestre 2019,8857.2,4342.0,4515.2
II trimestre 2019,8856.2,4333.9,4522.3
III trimestre 2019,8877.4,4343.7,4533.7
IV trimestre 2019,8898.6,4353.6,4545.0
