,0,1,2
 ,Evolution de la population active en chômage,Population active en chômage Masculine,Population active en chômage Féminine
II trimestre 2011,704.9,423.8,281.1
IV trimestre 2011,738.4,437.1,301.3
I trimestre 2012,709.7,425.7,284.0
II trimestre 2012,691.6,417.4,274.2
III trimestre 2012,665.0,400.1,264.9
IV trimestre 2012,653.8,396.4,257.4
I trimestre 2013,646.1,398.4,247.7
II trimestre 2013,628.4,379.6,248.8
III trimestre 2013,620.6,375.5,245.1
IV trimestre 2013,609.9,367.2,242.7
I trimestre 2014,605.8,364.9,240.9
III trimestre 2014,602.8,362.9,239.9
IV trimestre 2014,600.5,361.7,238.8
I trimestre 2015,601.4,359.4,242.0
II trimestre 2015,605.1,355.9,249.2
III trimestre 2015,612.1,357.7,254.4
IV trimestre 2015,618.8,361.7,257.1
I trimestre 2016,622.7,360.1,262.6
II trimestre 2016,629.6,357.0,272.6
III trimestre 2016,630.0,359.9,270.1
IV trimestre 2016,632.5,362.5,270.0
I trimestre 2017,625.6,359.3,266.3
II trimestre 2017,626.1,360.523,265.577
III trimestre 2017,628.6,359.2,269.4
IV trimestre 2017,639.0,367.2,271.8
I trimestre 2018,634.2,365.3,268.9
II trimestre 2018,638.0,367.9,270.1
III trimestre 2018,642.8,369.9,272.9
IV trimestre 2018,644.86,370.42300000000006,274.5
I trimestre 2019,637.7,366.1,271.6
II trimestre 2019,634.9,365.4,269.5
III trimestre 2019,628.3,362.5,265.8
IV trimestre 2019,623.9,360.2,263.7
